Month,Date,Orig_VMT,Adj_VMT
Jan,Jan-00,"203,442","227,898"
Feb,Feb-00,"199,261","228,670"
Mar,Mar-00,"232,490","229,880"
Apr,Apr-00,"227,698","229,203"
May,May-00,"242,501","229,805"
Jun,Jun-00,"242,963","229,506"
Jul,Jul-00,"245,140","229,143"
Aug,Aug-00,"247,832","228,931"
Sep,Sep-00,"227,899","230,993"
Oct,Oct-00,"236,491","230,832"
Nov,Nov-00,"222,819","229,004"
Dec,Dec-00,"218,390","225,193"
Jan,1-Jan,"209,685","231,462"
Feb,1-Feb,"200,876","230,601"
Mar,1-Mar,"232,587","231,145"
Apr,1-Apr,"232,513","233,209"
May,1-May,"245,357","231,851"
Jun,1-Jun,"243,498","231,487"
Jul,1-Jul,"250,363","233,232"
Aug,1-Aug,"253,274","233,054"
Sep,1-Sep,"226,312","232,430"
Oct,1-Oct,"241,050","233,625"
Nov,1-Nov,"230,511","236,072"
Dec,1-Dec,"229,584","237,766"
Jan,2-Jan,"215,215","236,297"
Feb,2-Feb,"208,237","238,020"
Mar,2-Mar,"236,070","236,248"
Apr,2-Apr,"237,226","236,313"
May,2-May,"251,746","237,164"
Jun,2-Jun,"247,868","238,139"
Jul,2-Jul,"256,392","237,572"
Aug,2-Aug,"258,666","239,480"
Sep,2-Sep,"233,625","239,893"
Oct,2-Oct,"245,556","237,340"
Nov,2-Nov,"230,648","239,229"
Dec,2-Dec,"234,260","239,922"
Jan,3-Jan,"218,534","238,745"
Feb,3-Feb,"203,677","233,448"
Mar,3-Mar,"236,679","237,684"
Apr,3-Apr,"239,415","237,696"
May,3-May,"253,244","239,751"
Jun,3-Jun,"252,145","241,567"
Jul,3-Jul,"262,105","242,756"
Aug,3-Aug,"260,687","243,360"
Sep,3-Sep,"237,451","243,108"
Oct,3-Oct,"254,048","244,869"
Nov,3-Nov,"233,698","244,131"
Dec,3-Dec,"238,538","243,246"
Jan,4-Jan,"222,450","243,724"
Feb,4-Feb,"213,709","244,792"
Mar,4-Mar,"251,403","248,900"
Apr,4-Apr,"250,968","248,001"
May,4-May,"257,235","246,666"
Jun,4-Jun,"257,383","244,627"
Jul,4-Jul,"265,969","247,405"
Aug,4-Aug,"262,836","247,743"
Sep,4-Sep,"243,515","247,282"
Oct,4-Oct,"254,496","248,290"
Nov,4-Nov,"239,796","247,521"
Dec,4-Dec,"245,029","248,847"
Jan,5-Jan,"224,072","248,103"
Feb,5-Feb,"219,970","249,879"
Mar,5-Mar,"253,182","248,957"
Apr,5-Apr,"250,860","249,062"
May,5-May,"262,678","250,853"
Jun,5-Jun,"263,816","250,694"
Jul,5-Jul,"267,025","251,054"
Aug,5-Aug,"265,323","249,301"
Sep,5-Sep,"242,240","245,499"
Oct,5-Oct,"251,419","246,314"
Nov,5-Nov,"243,056","250,349"
Dec,5-Dec,"245,787","250,934"
Jan,6-Jan,"233,282","255,741"
Feb,6-Feb,"220,711","250,650"
Mar,6-Mar,"256,623","250,690"
Apr,6-Apr,"250,644","250,942"
May,6-May,"263,370","249,853"
Jun,6-Jun,"263,782","250,022"
Jul,6-Jul,"263,421","249,469"
Aug,6-Aug,"265,206","248,905"
Sep,6-Sep,"245,605","250,465"
Oct,6-Oct,"257,939","251,708"
Nov,6-Nov,"245,346","252,183"
Dec,6-Dec,"248,187","255,219"
Jan,7-Jan,"233,621","254,095"
Feb,7-Feb,"219,232","249,232"
Mar,7-Mar,"259,638","254,394"
Apr,7-Apr,"252,595","251,777"
May,7-May,"267,574","253,478"
Jun,7-Jun,"265,374","253,248"
Jul,7-Jul,"267,106","252,689"
Aug,7-Aug,"271,225","253,708"
Sep,7-Sep,"245,965","253,640"
Oct,7-Oct,"261,423","253,533"
Nov,7-Nov,"245,787","251,729"
Dec,7-Dec,"240,281","248,628"
Jan,8-Jan,"232,920","252,455"
Feb,8-Feb,"221,336","250,459"
Mar,8-Mar,"252,343","249,807"
Apr,8-Apr,"252,088","248,914"
May,8-May,"261,466","248,110"
Jun,8-Jun,"257,484","247,114"
Jul,8-Jul,"261,600","245,041"
Aug,8-Aug,"260,609","245,169"
Sep,8-Sep,"239,607","245,962"
Oct,8-Oct,"255,848","246,259"
Nov,8-Nov,"236,465","247,015"
Dec,8-Dec,"241,742","246,608"
Jan,9-Jan,"225,529","245,399"
Feb,9-Feb,"217,643","248,303"
Mar,9-Mar,"249,741","245,710"
Apr,9-Apr,"251,374","247,457"
May,9-May,"258,276","247,170"
Jun,9-Jun,"258,395","246,540"
Jul,9-Jul,"264,472","247,091"
Aug,9-Aug,"260,297","247,352"
Sep,9-Sep,"241,970","246,338"
Oct,9-Oct,"252,209","243,860"
Nov,9-Nov,"237,264","246,534"
Dec,9-Dec,"239,593","244,363"
Jan,10-Jan,"220,839","242,593"
Feb,10-Feb,"210,635","241,700"
Mar,10-Mar,"254,238","248,341"
Apr,10-Apr,"253,936","249,049"
May,10-May,"256,927","247,429"
Jun,10-Jun,"260,083","247,474"
Jul,10-Jul,"265,315","249,136"
Aug,10-Aug,"263,837","249,511"
Sep,10-Sep,"244,682","248,648"
Oct,10-Oct,"256,395","249,928"
Nov,10-Nov,"239,579","247,565"
Dec,10-Dec,"240,800","244,688"
Jan,11-Jan,"223,790","246,930"
Feb,11-Feb,"213,463","245,144"
Mar,11-Mar,"253,124","246,273"
Apr,11-Apr,"249,578","245,899"
May,11-May,"254,083","243,495"
Jun,11-Jun,"258,350","245,135"
Jul,11-Jul,"260,175","245,742"
Aug,11-Aug,"260,526","244,412"
Sep,11-Sep,"242,062","245,256"
Oct,11-Oct,"251,906","246,577"
Nov,11-Nov,"238,535","246,235"
Dec,11-Dec,"244,810","250,094"
Jan,12-Jan,"227,527","249,630"
Feb,12-Feb,"218,196","250,196"
Mar,12-Mar,"256,166","249,689"
Apr,12-Apr,"249,394","247,124"
May,12-May,"260,774","247,512"
Jun,12-Jun,"260,376","247,662"
Jul,12-Jul,"260,244","245,799"
Aug,12-Aug,"264,379","246,048"
Sep,12-Sep,"238,867","246,329"
Oct,12-Oct,"253,574","245,291"
Nov,12-Nov,"240,361","247,380"
Dec,12-Dec,"238,709","247,244"
