,Month,Date,Orig_VMT,Adj_VMT,Year
0,Jan,Jan-00,"203,442","227,898",2000
1,Feb,Feb-00,"199,261","228,670",2000
2,Mar,Mar-00,"232,490","229,880",2000
3,Apr,Apr-00,"227,698","229,203",2000
4,May,May-00,"242,501","229,805",2000
5,Jun,Jun-00,"242,963","229,506",2000
6,Jul,Jul-00,"245,140","229,143",2000
7,Aug,Aug-00,"247,832","228,931",2000
8,Sep,Sep-00,"227,899","230,993",2000
9,Oct,Oct-00,"236,491","230,832",2000
10,Nov,Nov-00,"222,819","229,004",2000
11,Dec,Dec-00,"218,390","225,193",2000
12,Jan,1-Jan,"209,685","231,462",20Jan
13,Feb,1-Feb,"200,876","230,601",20Feb
14,Mar,1-Mar,"232,587","231,145",20Mar
15,Apr,1-Apr,"232,513","233,209",20Apr
16,May,1-May,"245,357","231,851",20May
17,Jun,1-Jun,"243,498","231,487",20Jun
18,Jul,1-Jul,"250,363","233,232",20Jul
19,Aug,1-Aug,"253,274","233,054",20Aug
20,Sep,1-Sep,"226,312","232,430",20Sep
21,Oct,1-Oct,"241,050","233,625",20Oct
22,Nov,1-Nov,"230,511","236,072",20Nov
23,Dec,1-Dec,"229,584","237,766",20Dec
24,Jan,2-Jan,"215,215","236,297",20Jan
25,Feb,2-Feb,"208,237","238,020",20Feb
26,Mar,2-Mar,"236,070","236,248",20Mar
27,Apr,2-Apr,"237,226","236,313",20Apr
28,May,2-May,"251,746","237,164",20May
29,Jun,2-Jun,"247,868","238,139",20Jun
30,Jul,2-Jul,"256,392","237,572",20Jul
31,Aug,2-Aug,"258,666","239,480",20Aug
32,Sep,2-Sep,"233,625","239,893",20Sep
33,Oct,2-Oct,"245,556","237,340",20Oct
34,Nov,2-Nov,"230,648","239,229",20Nov
35,Dec,2-Dec,"234,260","239,922",20Dec
36,Jan,3-Jan,"218,534","238,745",20Jan
37,Feb,3-Feb,"203,677","233,448",20Feb
38,Mar,3-Mar,"236,679","237,684",20Mar
39,Apr,3-Apr,"239,415","237,696",20Apr
40,May,3-May,"253,244","239,751",20May
41,Jun,3-Jun,"252,145","241,567",20Jun
42,Jul,3-Jul,"262,105","242,756",20Jul
43,Aug,3-Aug,"260,687","243,360",20Aug
44,Sep,3-Sep,"237,451","243,108",20Sep
45,Oct,3-Oct,"254,048","244,869",20Oct
46,Nov,3-Nov,"233,698","244,131",20Nov
47,Dec,3-Dec,"238,538","243,246",20Dec
48,Jan,4-Jan,"222,450","243,724",20Jan
49,Feb,4-Feb,"213,709","244,792",20Feb
50,Mar,4-Mar,"251,403","248,900",20Mar
51,Apr,4-Apr,"250,968","248,001",20Apr
52,May,4-May,"257,235","246,666",20May
53,Jun,4-Jun,"257,383","244,627",20Jun
54,Jul,4-Jul,"265,969","247,405",20Jul
55,Aug,4-Aug,"262,836","247,743",20Aug
56,Sep,4-Sep,"243,515","247,282",20Sep
57,Oct,4-Oct,"254,496","248,290",20Oct
58,Nov,4-Nov,"239,796","247,521",20Nov
59,Dec,4-Dec,"245,029","248,847",20Dec
60,Jan,5-Jan,"224,072","248,103",20Jan
